Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,68.839996,68.860001,68.110001,68.190002,53.863396,18852300
2010-01-04,68.720001,69.260002,68.190002,69.150002,54.6217,27809100
2010-01-05,69.190002,69.449997,68.800003,69.419998,54.834965,30174700
2010-01-06,69.449997,70.599998,69.339996,70.019997,55.308914,35044700
2010-01-07,69.900002,70.059998,69.419998,69.800003,55.135132,27192100
2010-01-08,69.690002,69.75,69.220001,69.519997,54.913967,24891800
2010-01-11,69.940002,70.519997,69.650002,70.300003,55.530071,30685000
2010-01-12,69.720001,69.989998,69.519997,69.949997,55.253605,31496700
2010-01-13,69.959999,70.040001,69.260002,69.669998,55.032436,24884400
2010-01-14,69.540001,69.739998,69.349998,69.68,55.040321,18630800
2010-01-15,69.650002,69.690002,68.650002,69.110001,54.590084,29411900
2010-01-19,68.739998,69.349998,68.419998,69.269997,54.71648,26081900
2010-01-20,68.559998,68.660004,67.93,68.029999,53.737003,34629500
2010-01-21,68.120003,68.150002,66.5,66.699997,52.686432,39114000
2010-01-22,66.519997,67.139999,66.0,66.099998,52.212475,39085500
2010-01-25,66.550003,66.760002,65.690002,65.849998,52.015018,29305100
2010-01-26,65.639999,66.739998,65.5,65.919998,52.070313,34083300
2010-01-27,65.660004,66.059998,65.0,65.540001,51.770153,35723500
2010-01-28,65.849998,65.849998,64.57,64.959999,51.312,37349800
2010-01-29,65.150002,65.82,64.019997,64.43,50.893349,40880500
2010-02-01,65.769997,66.410004,65.349998,66.18,52.275688,37703000
2010-02-02,66.730003,67.120003,66.470001,66.959999,52.891808,34057900
2010-02-03,66.879997,67.230003,66.559998,66.599998,52.607441,24024700
2010-02-04,66.269997,66.349998,64.68,64.720001,51.122429,33858200
2010-02-05,64.699997,64.900002,63.560001,64.800003,51.185623,42297500
2010-02-08,64.910004,65.489998,64.339996,64.349998,51.161774,30519400
2010-02-09,65.110001,65.709999,64.559998,65.199997,51.837559,36243300
2010-02-10,65.080002,65.220001,64.160004,64.849998,51.559292,21699100
2010-02-11,64.690002,65.480003,64.410004,65.239998,51.86937,23555200
2010-02-12,64.620003,65.139999,64.279999,64.800003,51.519531,30636200
2010-02-16,65.440002,66.379997,65.080002,66.279999,52.696217,30514900
2010-02-17,66.339996,66.449997,65.57,65.760002,52.282795,21821800
2010-02-18,65.800003,66.089996,65.349998,65.959999,52.441803,22536700
2010-02-19,65.589996,66.239998,65.43,65.870003,52.370247,24264600
2010-02-22,66.099998,66.120003,65.25,65.400002,51.996578,20469700
2010-02-23,65.260002,65.559998,64.150002,64.940002,51.630848,33372900
2010-02-24,65.010002,65.870003,64.769997,65.550003,52.115841,21469600
2010-02-25,64.610001,65.169998,64.370003,65.139999,51.789852,25668800
2010-02-26,65.260002,65.400002,64.919998,65.0,51.678555,20129700
2010-03-01,65.360001,65.540001,65.089996,65.400002,51.996578,18798600
2010-03-02,65.660004,65.790001,65.150002,65.489998,52.068127,24823900
2010-03-03,65.769997,65.970001,65.379997,65.43,52.020435,22279800
2010-03-04,65.349998,65.629997,65.080002,65.400002,51.996578,21961100
2010-03-05,65.959999,66.519997,65.779999,66.470001,52.847286,26837900
2010-03-08,66.769997,66.790001,66.230003,66.480003,52.855221,20297200
2010-03-09,66.32,67.190002,66.220001,66.779999,53.093742,29003100
2010-03-10,67.160004,67.419998,66.779999,67.220001,53.443581,24810300
2010-03-11,67.389999,67.559998,66.980003,67.220001,53.443581,19357400
2010-03-12,67.580002,67.580002,66.5,66.800003,53.109646,23361800
2010-03-15,66.669998,66.690002,65.900002,66.300003,52.712124,22070000
2010-03-16,66.550003,66.68,66.0,66.57,52.926785,35103700
2010-03-17,66.910004,67.790001,66.800003,67.360001,53.55489,38770000
2010-03-18,67.5,67.739998,67.010002,67.389999,53.578735,25925500
2010-03-19,67.040001,67.889999,66.43,67.040001,53.300461,45564200
2010-03-22,66.489998,67.199997,66.32,66.970001,53.244808,21390600
2010-03-23,66.940002,66.980003,66.449997,66.949997,53.228909,24754700
2010-03-24,66.57,66.860001,66.230003,66.5,52.871136,19748800
2010-03-25,66.809998,66.919998,66.239998,66.300003,52.712124,21095600
2010-03-26,66.440002,66.879997,66.169998,66.540001,52.902935,30553400
2010-03-29,66.660004,67.480003,66.589996,67.300003,53.507183,26122200
2010-03-30,67.190002,67.300003,66.790001,67.050003,53.308403,17745900
2010-03-31,66.940002,67.190002,66.599998,66.980003,53.252754,22352500
2010-04-01,67.269997,67.800003,67.190002,67.610001,53.753639,19614700
2010-04-05,67.839996,68.360001,67.720001,68.190002,54.214779,20901100
2010-04-06,67.989998,68.349998,67.800003,67.900002,53.984219,19776800
2010-04-07,67.830002,67.849998,66.970001,67.339996,53.538979,24531500
2010-04-08,67.010002,68.220001,66.849998,67.860001,53.952404,24060800
2010-04-09,68.110001,68.980003,68.07,68.760002,54.667969,21099600
2010-04-12,68.800003,69.050003,68.580002,68.709999,54.628197,18170300
2010-04-13,68.470001,68.760002,68.07,68.660004,54.588444,19177100
2010-04-14,68.720001,68.82,68.360001,68.610001,54.548702,18777800
2010-04-15,68.5,68.720001,68.150002,68.260002,54.270432,16712900
2010-04-16,68.120003,68.699997,67.709999,67.93,54.008064,33855100
2010-04-19,67.75,68.440002,67.57,68.230003,54.24659,25686000
2010-04-20,68.620003,69.220001,68.5,68.970001,54.834919,22989500
2010-04-21,69.0,69.43,68.57,68.919998,54.795151,21119200
2010-04-22,68.519997,68.730003,68.220001,68.559998,54.508957,21654700
2010-04-23,68.5,69.269997,68.18,69.239998,55.049587,24340000
2010-04-26,69.029999,69.529999,68.93,69.290001,55.08934,18237100
2010-04-27,69.010002,70.0,68.199997,68.269997,54.278374,36374700
2010-04-28,68.870003,69.540001,68.610001,69.190002,55.00983,33243500
2010-04-29,68.449997,69.660004,68.239998,68.660004,54.588444,47200900
2010-04-30,68.900002,69.309998,67.730003,67.769997,53.880844,43762100
2010-05-03,68.110001,68.220001,67.18,67.839996,53.936508,30734900
2010-05-04,67.150002,67.260002,66.0,66.470001,52.847286,31646100
2010-05-05,65.940002,66.940002,65.830002,66.169998,52.608761,30260300
2010-05-06,65.790001,66.230003,58.459999,63.889999,50.79604,58336300
2010-05-07,64.5,64.919998,63.23,63.700001,50.644981,69004800
2010-05-10,65.419998,65.75,64.519997,65.230003,51.861423,38337600
2010-05-11,64.620003,65.0,64.230003,64.459999,51.59726,29790600
2010-05-12,64.639999,65.339996,64.5,64.910004,51.957474,25390700
2010-05-13,64.870003,65.269997,64.32,64.739998,51.821392,26791600
2010-05-14,64.5,64.730003,62.91,63.599998,50.908878,38815400
2010-05-17,63.740002,63.880001,62.259998,63.27,50.644726,31923700
2010-05-18,64.050003,64.269997,62.419998,62.790001,50.260509,34457000
2010-05-19,62.459999,62.939999,62.0,62.450001,49.988354,36722500
2010-05-20,61.470001,61.68,60.209999,60.330002,48.291401,57194500
2010-05-21,59.16,60.950001,59.16,60.880001,48.731644,52802900
2010-05-24,60.740002,61.0,60.130001,60.189999,48.179329,27847800
2010-05-25,58.990002,59.779999,58.459999,59.709999,47.795109,50533800
2010-05-26,60.080002,60.459999,59.119999,59.310001,47.474934,34028900
2010-05-27,60.5,61.549999,60.099998,61.459999,49.195904,31911500
2010-05-28,61.209999,61.669998,60.279999,60.459999,48.395443,32078700
2010-06-01,60.380001,60.860001,59.139999,59.25,47.426903,32972000
2010-06-02,59.509998,60.799999,59.23,60.77,48.643589,28668400
2010-06-03,61.23,62.009998,60.599998,61.560001,49.275944,32383700
